Time	Volt	Ampere			
4.31765	9.755	0.147967			
4.3177	9.745	0.147758			
4.31775	9.75667	0.147983			
4.3178	9.74333	0.148208			
4.31785	9.74417	0.148117			
4.3179	9.74667	0.148017			
4.31795	9.75083	0.148192			
4.318	9.7625	0.148117			
4.31805	9.73917	0.147842			
4.3181	9.7475	0.147758			
4.31815	9.7425	0.147833			
4.3182	9.75583	0.1479			
4.31825	9.755	0.148075			
4.3183	9.7475	0.147867			
4.31835	9.75167	0.147817			
4.3184	9.7375	0.148183			
4.31845	9.75667	0.14835			
4.3185	9.7525	0.148367			
4.31855	9.7575	0.148408			
4.3186	9.745	0.148467			
4.31865	9.74167	0.148392			
4.3187	9.75917	0.148142			
4.31875	9.75417	0.147925			
4.3188	9.75833	0.147858			
4.31885	9.74333	0.147908			
4.3189	9.745	0.147775			
4.31895	9.74417	0.147433			
4.319	9.74833	0.147608			
4.31905	9.765	0.148033			
4.3191	9.745	0.1481			
4.31915	9.74583	0.14795			
4.3192	9.74083	0.148042			
4.31925	9.7575	0.148217			
4.3193	9.755	0.148333			
4.31935	9.7475	0.148267			
4.3194	9.75083	0.148			
4.31945	9.74167	0.1481			
4.3195	9.75333	0.148233			
4.31955	9.75333	0.147917			
4.3196	9.75417	0.1476			
4.31965	9.745	0.147867			
4.3197	9.74	0.148017			
4.31975	9.755	0.1478			
4.3198	9.74667	0.147675			
4.31985	9.75583	0.147783			
4.3199	9.7425	0.14795			
4.31995	9.7425	0.148117			
4.32	9.745	0.148083			
4.32005	9.755	0.1481			
4.3201	9.76	0.148375			
4.32015	9.7375	0.148383			
4.3202	9.74667	0.148025			
4.32025	9.74417	0.14795			
4.3203	9.75833	0.148125			
4.32035	9.75417	0.1481			
4.3204	9.74667	0.147933			
4.32045	9.74333	0.147808			
4.3205	9.73333	0.147858			
4.32055	9.75833	0.148025			
4.3206	9.75417	0.148008			
4.32065	9.75583	0.147817			
4.3207	9.74333	0.147958			
4.32075	9.74583	0.1482			
4.3208	9.75	0.148017			
4.32085	9.74833	0.147908			
4.3209	9.75917	0.148117			
4.32095	9.7425	0.148292			
4.321	9.745	0.148292			
4.32105	9.74417	0.14815			
4.3211	9.7575	0.147992			
4.32115	9.75583	0.148142			
4.3212	9.74167	0.14825			
4.32125	9.75167	0.147983			
4.3213	9.7425	0.147858			
4.32135	9.75833	0.148092			
4.3214	9.755	0.148083			
4.32145	9.75	0.14785			
4.3215	9.74667	0.147883			
4.32155	9.73833	0.148017			
4.3216	9.76333	0.148075			
4.32165	9.75167	0.148117			
4.3217	9.75833	0.147917			
4.32175	9.7425	0.147983			
4.3218	9.74667	0.148208			
4.32185	9.75167	0.1483			
4.3219	9.74917	0.148042			
4.32195	9.76083	0.147992			
4.322	9.745	0.1482			
4.32205	9.745	0.14815			
4.3221	9.74583	0.14815			
4.32215	9.7575	0.148025			
4.3222	9.75667	0.14795			
4.32225	9.73833	0.148058			
4.3223	9.74917	0.147942			
4.32235	9.7425	0.147683			
4.3224	9.75833	0.147917			
4.32245	9.75833	0.148125			
4.3225	9.7525	0.148092			
4.32255	9.74583	0.147883			
4.3226	9.73667	0.14795			
4.32265	9.75417	0.1481			
4.3227	9.75167	0.148208			
4.32275	9.7575	0.148325			
4.3228	9.745	0.148283			
4.32285	9.74583	0.148283			
4.3229	9.755	0.148333			
4.32295	9.74667	0.147983			
4.323	9.755	0.14765			
4.32305	9.745	0.147908			
4.3231	9.74833	0.14795			
4.32315	9.74667	0.147783			
4.3232	9.755	0.147567			
4.32325	9.75833	0.1477			
4.3233	9.73667	0.147883			
4.32335	9.745	0.148075			
4.3234	9.7425	0.148067			
4.32345	9.75667	0.148183			
4.3235	9.755	0.148417			
4.32355	9.74917	0.148542			
4.3236	9.74667	0.148267			
4.32365	9.73	0.148075			
4.3237	9.75583	0.148333			
4.32375	9.7525	0.148133			
4.3238	9.755	0.1478			
4.32385	9.7425	0.147575			
4.3239	9.7425	0.147708			
4.32395	9.755	0.147908			
